observation_date,NPPTTL_20110202,NPPTTL_20110302,NPPTTL_20110330,NPPTTL_20110504,NPPTTL_20110601,NPPTTL_20110707,NPPTTL_20110803,NPPTTL_20110831,NPPTTL_20111005,NPPTTL_20111102,NPPTTL_20111130,NPPTTL_20120105,NPPTTL_20120201,NPPTTL_20120307,NPPTTL_20120404,NPPTTL_20120502,NPPTTL_20120531,NPPTTL_20120705,NPPTTL_20120801,NPPTTL_20120906,NPPTTL_20121003,NPPTTL_20121024,NPPTTL_20121101,NPPTTL_20121205,NPPTTL_20130103,NPPTTL_20130130,NPPTTL_20130306,NPPTTL_20130403,NPPTTL_20130501,NPPTTL_20130605,NPPTTL_20130703,NPPTTL_20130731,NPPTTL_20130905,NPPTTL_20131002,NPPTTL_20131030,NPPTTL_20131204,NPPTTL_20140108,NPPTTL_20140205,NPPTTL_20140305,NPPTTL_20140402,NPPTTL_20140430,NPPTTL_20140604,NPPTTL_20140702,NPPTTL_20140730,NPPTTL_20140904,NPPTTL_20141001,NPPTTL_20141105,NPPTTL_20141203,NPPTTL_20150107,NPPTTL_20150204,NPPTTL_20150304,NPPTTL_20150401,NPPTTL_20150506,NPPTTL_20150603,NPPTTL_20150701,NPPTTL_20150805,NPPTTL_20150902,NPPTTL_20150930,NPPTTL_20151104,NPPTTL_20151202,NPPTTL_20160106,NPPTTL_20160203,NPPTTL_20160302,NPPTTL_20160330,NPPTTL_20160504,NPPTTL_20160602,NPPTTL_20160707,NPPTTL_20160803,NPPTTL_20160831,NPPTTL_20161005,NPPTTL_20161102,NPPTTL_20161130,NPPTTL_20170105,NPPTTL_20170201,NPPTTL_20170308,NPPTTL_20170405,NPPTTL_20170503,NPPTTL_20170601,NPPTTL_20170706,NPPTTL_20170802,NPPTTL_20170830,NPPTTL_20171004,NPPTTL_20171101,NPPTTL_20171206,NPPTTL_20180104,NPPTTL_20180131,NPPTTL_20180307,NPPTTL_20180404,NPPTTL_20180502,NPPTTL_20180530,NPPTTL_20180705,NPPTTL_20180801,NPPTTL_20180906,NPPTTL_20181003,NPPTTL_20181031,NPPTTL_20181206,NPPTTL_20190103,NPPTTL_20190130,NPPTTL_20190306,NPPTTL_20190403,NPPTTL_20190501,NPPTTL_20190605,NPPTTL_20190703,NPPTTL_20190731,NPPTTL_20190905,NPPTTL_20191002,NPPTTL_20191030,NPPTTL_20191204,NPPTTL_20200108,NPPTTL_20200205,NPPTTL_20200304,NPPTTL_20200401,NPPTTL_20200506,NPPTTL_20200603,NPPTTL_20200701,NPPTTL_20200805,NPPTTL_20200902,NPPTTL_20200930,NPPTTL_20201104,NPPTTL_20201202,NPPTTL_20210106,NPPTTL_20210203,NPPTTL_20210303,NPPTTL_20210331,NPPTTL_20210505,NPPTTL_20210603,NPPTTL_20210630,NPPTTL_20210804,NPPTTL_20210901,NPPTTL_20211006,NPPTTL_20211103,NPPTTL_20211201,NPPTTL_20220105,NPPTTL_20220202,NPPTTL_20220302,NPPTTL_20220330,NPPTTL_20220504,NPPTTL_20220602
2000-12-01,111154,111378,111378,111378,111378,111378,111378,111378,111378,111378,111378,111378,111378,111571,111571,111571,111571,111571,111571,111571,111571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-01-01,111113,111358,111358,111358,111358,111358,111358,111358,111358,111358,111358,111358,111358,111574,111574,111574,111574,111574,111574,111574,111574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-01,110992,111228,111228,111228,111228,111228,111228,111228,111228,111228,111228,111228,111228,111408,111408,111408,111408,111408,111408,111408,111408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-01,110874,111083,111083,111083,111083,111083,111083,111083,111083,111083,111083,111083,111083,111235,111235,111235,111235,111235,111235,111235,111235,111556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-04-01,110577,110886,110886,110886,110886,110886,110886,110886,110886,110886,110886,110886,110886,110999,110999,110999,110999,110999,110999,110999,110999,111326,111326.4,111326.354,111326,111326,111413,111413,111413.000,111413.000,111413.000,111413.000,111413.000,111413.000,111413.000,111413.000,111413.000,111413.000,111574.000,111574.000,111574.000,111574.000,111574.000,111574.000,111574.000,111574.000,111574.000,111574.000,111574.000,111574.000,111573.000,111573.000,111573,111573,111573.000,111573.000,111573.000,111573.000,111573.000,111573.000,111573.000,111573.000,111600.000,111600.000,111600.000,111600.000,111600.000,111600.000,111600.000,111600.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-05-01,110414,110724,110724,110724,110724,110724,110724,110724,110724,110724,110724,110724,110724,110789,110789,110789,110789,110789,110789,110789,110789,111146,111145.8,111145.756,111146,111146,111215,111215,111215.000,111215.000,111215.000,111215.000,111215.000,111215.000,111215.000,111215.000,111215.000,111215.000,111375.000,111375.000,111375.000,111375.000,111375.000,111375.000,111375.000,111375.000,111375.000,111375.000,111375.000,111375.000,111398.000,111398.000,111398,111398,111398.133,111398.133,111398.133,111398.133,111398.133,111398.133,111398.133,111398.133,111413.869,111413.869,111413.869,111413.869,111413.869,111413.869,111413.869,111413.869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-01,110210,110518,110518,110518,110518,110518,110518,110518,110518,110518,110518,110518,110518,110599,110599,110599,110599,110599,110599,110599,110599,110899,110899.5,110899.471,110899,110899,111009,111009,111008.789,111008.789,111008.789,111008.789,111008.789,111008.789,111008.789,111008.789,111008.789,111008.789,111170.255,111170.255,111170.255,111170.255,111170.255,111170.255,111170.255,111170.255,111170.255,111170.255,111170.255,111170.255,111167.553,111167.553,111168,111168,111167.553,111167.553,111167.553,111167.553,111167.553,111167.553,111167.553,111167.553,111241.951,111241.951,111241.951,111241.951,111241.951,111241.951,111241.951,111241.951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-07-01,110033,110349,110349,110349,110349,110349,110349,110349,110349,110349,110349,110349,110349,110437,110437,110437,110437,110437,110437,110437,110437,110697,110697.2,110697.197,110697,110697,110820,110820,110819.758,110819.758,110819.758,110819.758,110819.758,110819.758,110819.758,110819.758,110819.758,110819.758,110962.354,110962.354,110962.354,110962.354,110962.354,110962.354,110962.354,110962.354,110962.354,110962.354,110962.354,110962.354,110964.905,110964.905,110965,110965,110964.905,110964.905,110964.905,110964.905,110964.905,110964.905,110964.905,110964.905,111074.047,111074.047,111074.047,111074.047,111074.047,111074.047,111074.047,111074.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-01,109862,110087,110087,110087,110087,110087,110087,110087,110087,110087,110087,110087,110087,110203,110203,110203,110203,110203,110203,110203,110203,110452,110452.3,110452.270,110452,110452,110596,110596,110595.774,110595.774,110595.774,110595.774,110595.774,110595.774,110595.774,110595.774,110595.774,110595.774,110738.296,110738.296,110738.296,110738.296,110738.296,110738.296,110738.296,110738.296,110738.296,110738.296,110738.296,110738.296,110719.120,110719.120,110719,110719,110719.120,110719.120,110719.120,110719.120,110719.120,110719.120,110719.120,110719.120,110854.896,110854.896,110854.896,110854.896,110854.896,110854.896,110854.896,110854.896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-01,109613,109835,109835,109835,109835,109835,109835,109835,109835,109835,109835,109835,109835,109961,109961,109961,109961,109961,109961,109961,109961,110201,110200.9,110200.913,110201,110201,110333,110333,110332.581,110332.581,110332.581,110332.581,110332.581,110332.581,110332.581,110332.581,110332.581,110332.581,110473.793,110473.793,110473.793,110473.793,110473.793,110473.793,110473.793,110473.793,110473.793,110473.793,110473.793,110473.793,110457.629,110457.629,110458,110458,110457.629,110457.629,110457.629,110457.629,110457.629,110457.629,110457.629,110457.629,110632.327,110632.327,110632.327,110632.327,110632.327,110632.327,110632.327,110632.327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
